tempmax;tempmin;temp;feelslikemax;feelslikemin;feelslike;dew;humidity;precip;precipprob;precipcover;preciptype;snow;snowdepth;windgust;windspeed;winddir;sealevelpressure;cloudcover;visibility;solarradiation;solarenergy;uvindex;severerisk;moonphase;weathercondition
21.6;10.0;14.6;21.6;10.0;14.6;8.1;67.0;0.0;0.0;0.0;;;;;29.5;33.4;1005.1;72.3;11.4;;;;;0.78;partly-cloudy-day
19.6;11.1;15.0;19.6;11.1;15.0;8.1;65.4;0.0;0.0;0.0;;;;;20.4;126.0;1009.1;70.2;12.1;;;;;0.82;partly-cloudy-day
19.1;10.6;14.1;19.1;10.6;14.1;9.5;75.4;0.0;0.0;0.0;;;;;22.2;338.0;1012.8;67.7;12.7;;;;;0.85;partly-cloudy-day
19.6;7.1;13.6;19.6;7.1;13.6;8.3;72.1;0.0;0.0;0.0;;;;;29.6;145.4;1011.6;52.1;11.4;;;;;0.89;partly-cloudy-day
16.3;10.5;12.8;16.3;10.5;12.8;8.3;74.5;0.0;0.0;0.0;;;;;14.3;259.7;1007.4;88.7;11.8;;;;;0.93;partly-cloudy-day
10.6;5.5;8.1;10.6;1.0;4.6;5.6;84.6;0.0;0.0;0.0;;;;;39.0;356.6;1006.2;99.2;10.9;;;;;0.96;cloudy
12.5;3.9;7.6;12.5;1.0;6.2;0.5;62.8;0.0;0.0;0.0;;;;;32.2;354.3;1016.3;76.1;12.0;;;;;0.0;partly-cloudy-day
15.6;0.8;8.3;15.6;-1.2;8.1;2.8;71.4;0.0;0.0;0.0;;;;;18.4;142.5;1025.0;51.9;11.6;;;;;0.03;partly-cloudy-day
24.3;8.7;15.4;24.3;8.7;15.4;8.4;66.7;0.0;0.0;0.0;;;;;16.8;112.6;1021.5;69.9;11.4;;;;;0.06;partly-cloudy-day
24.6;10.1;17.1;24.6;10.1;17.1;7.2;58.3;0.0;0.0;0.0;;;;;20.6;252.9;1012.2;50.6;11.9;;;;;0.09;partly-cloudy-day
23.8;7.1;15.6;23.8;7.1;15.6;8.7;67.2;0.0;0.0;0.0;;;;;16.6;173.2;1009.8;49.2;12.5;;;;;0.16;partly-cloudy-day
